id,matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,relatedEventId,shot,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,team.id,team.name,team.formation,opponentTeam.id,opponentTeam.name,opponentTeam.formation,player.id,player.name,player.position,pass.accurate,pass.angle,pass.height,pass.length,pass.recipient.id,pass.recipient.name,pass.recipient.position,pass.endLocation.x,pass.endLocation.y,possession.id,possession.duration,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.id,possession.team.name,possession.team.formation,possession.attack,pass,possession.attack.withShot,possession.attack.withShotOnGoal,possession.attack.withGoal,possession.attack.flank,possession.attack.xg,groundDuel.opponent.id,groundDuel.opponent.name,groundDuel.opponent.position,groundDuel.duelType,groundDuel.keptPossession,groundDuel.progressedWithBall,groundDuel.stoppedProgress,groundDuel.recoveredPossession,groundDuel.takeOn,groundDuel.side,groundDuel.relatedDuelId,possession,aerialDuel.opponent.id,aerialDuel.opponent.name,aerialDuel.opponent.position,aerialDuel.opponent.height,aerialDuel.firstTouch,aerialDuel.height,aerialDuel.relatedDuelId,carry.progression,carry.endLocation.x,carry.endLocation.y,shot.bodyPart,shot.isGoal,shot.onTarget,shot.goalZone,shot.xg,shot.postShotXg,shot.goalkeeperActionId,shot.goalkeeper.id,shot.goalkeeper.name,shot.goalkeeper,infraction.yellowCard,infraction.redCard,infraction.type,infraction.opponent.id,infraction.opponent.name,infraction.opponent.position,infraction.opponent,location,aerialDuel.opponent,groundDuel.opponent,start_x,start_y,end_x,end_y,side,event_time_seconds,tag_shot_assist,tag_assist,tag_loss,delivery_zone,possession_shot,possession_goal,possession_shot_count,possession_goal_count,possession_header_shot_count,possession_header_goal_count,possession_xg,first_shot_xg,first_shooter_name,first_shooter_id
3156735686,5819292,1H,19,38,00:19:38.031,1179.031144,3156734386.0,,,,,,corner,[],100.0,0.0,71745,Ariana,4-2-3-1,6742,Ängelholm,4-4-2,53639,Brwa Nouri,LDMF,True,135.0,low,10.0,714685.0,V. Castro,RAMF,93.0,10.0,3156735686.0,2.706864,"['corner', 'set_piece_attack', 'attack']",5.0,0.0,100.0,0.0,91.0,50.0,71745.0,Ariana,4-2-3-1,,,True,False,False,left,0.1181,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,93.0,10.0,left,1178,False,False,False,front_post,True,False,1,0,1,0,0.1181,0.1181,A. Podrimcaku,755029.0
3156734389,5819292,1H,20,2,00:20:02.630,1203.630452,3156734390.0,,,,,,corner,[],100.0,0.0,71745,Ariana,4-2-3-1,6742,Ängelholm,4-4-2,53639,Brwa Nouri,LDMF,True,132.0,low,30.0,266678.0,P. Petrović,LAMF,81.0,33.0,3156734389.0,11.2950435,"['corner', 'set_piece_attack', 'attack']",6.0,0.0,100.0,0.0,78.0,100.0,71745.0,Ariana,4-2-3-1,,,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,81.0,33.0,left,1202,False,False,False,edge_recycle_zone,False,False,0,0,0,0,0.0,0.0,,
3156734534,5819292,1H,29,34,00:29:34.815,1775.815928,3156734535.0,,,,,,corner,[],100.0,100.0,71745,Ariana,4-2-3-1,6742,Ängelholm,4-4-2,53639,Brwa Nouri,LDMF,True,-101.0,high,35.0,755029.0,A. Podrimcaku,LB,93.0,49.0,3156734534.0,11.0171785,"['corner', 'set_piece_attack', 'attack']",13.0,0.0,100.0,100.0,88.0,56.0,71745.0,Ariana,4-2-3-1,,,True,False,False,right,0.0637,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,93.0,49.0,right,1774,False,False,False,penalty_spot_zone,True,False,1,0,1,0,0.0637,0.0637,L. Larsen,739449.0
3156734547,5819292,1H,30,16,00:30:16.155,1817.1558,3156734548.0,,,,,,corner,[],100.0,100.0,71745,Ariana,4-2-3-1,6742,Ängelholm,4-4-2,53639,Brwa Nouri,LDMF,True,-102.0,high,43.0,739449.0,L. Larsen,RCB,91.0,38.0,3156734547.0,19.915642,"['corner', 'set_piece_attack', 'attack']",6.0,0.0,100.0,100.0,100.0,37.0,71745.0,Ariana,4-2-3-1,,,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,91.0,38.0,right,1816,False,False,False,penalty_spot_zone,False,False,0,0,0,0,0.0,0.0,,
3156734645,5819292,1H,38,6,00:38:06.853,2287.85374,3156734646.0,,,,,,corner,[],100.0,0.0,71745,Ariana,4-2-3-1,6742,Ängelholm,4-4-2,266678,P. Petrović,LAMF,True,138.0,low,12.0,53639.0,Brwa Nouri,LDMF,91.0,12.0,3156734645.0,8.2419895,"['corner', 'set_piece_attack', 'attack']",5.0,0.0,100.0,0.0,75.0,72.0,71745.0,Ariana,4-2-3-1,,,True,False,False,center,0.0011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,91.0,12.0,left,2286,False,False,False,edge_recycle_zone,True,False,1,0,0,0,0.0011,0.0011,Ahmed Awad,53631.0
3156735651,5819292,2H,47,27,00:47:27.331,2986.331065,3156734796.0,,,,,,corner,['shot_assist'],100.0,0.0,71745,Ariana,4-2-3-1,6742,Ängelholm,4-4-2,266678,P. Petrović,LAMF,True,110.0,high,29.0,739360.0,A. Bjurnemark,LCB,90.0,40.0,3156735651.0,1.579903,"['corner', 'set_piece_attack', 'attack']",4.0,0.0,100.0,0.0,91.0,43.0,71745.0,Ariana,4-2-3-1,,,True,False,False,left,0.1203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,90.0,40.0,left,2847,True,False,False,penalty_spot_zone,True,False,1,0,1,0,0.1203,0.1203,A. Bjurnemark,739360.0
3093273261,5819278,1H,1,53,00:01:53.608,114.608934,3093273270.0,,,,,,corner,['loss'],100.0,0.0,6777,Trollhättan,4-4-2,6742,Ängelholm,4-4-2,581386,W. Jensen,RCMF,False,95.0,high,42.0,499232.0,R. Streifert,GK,96.0,62.0,3093273261.0,7.535973,"['corner', 'set_piece_attack']",2.0,0.0,100.0,0.0,87.0,50.0,6777.0,Trollhättan,4-4-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,96.0,62.0,left,113,False,False,True,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3093273544,5819278,1H,26,50,00:26:50.606,1611.606215,3093275303.0,,,,,,corner,[],100.0,100.0,6777,Trollhättan,4-4-2,6742,Ängelholm,4-4-2,615855,M. Berg,RW,True,-96.0,high,28.0,0.0,,,97.0,59.0,3093273544.0,1.295423,"['corner', 'set_piece_attack', 'attack']",2.0,0.0,100.0,100.0,97.0,59.0,6777.0,Trollhättan,4-4-2,,,False,False,False,right,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,97.0,59.0,right,1610,False,False,False,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3078453533,5819262,1H,33,28,00:33:28.443,2009.443208,3078453432.0,,,,,,corner,['loss'],100.0,0.0,7018,Tvååker,4-4-2,6742,Ängelholm,4-4-2,744749,F. Gustafsson,RB,False,110.0,high,43.0,499232.0,R. Streifert,GK,86.0,60.0,3078453533.0,10.2768985,"['corner', 'set_piece_attack']",5.0,0.0,100.0,0.0,73.0,100.0,7018.0,Tvååker,4-4-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,86.0,60.0,left,2008,False,False,True,penalty_spot_zone,False,False,0,0,0,0,0.0,0.0,,
3078453659,5819262,1H,42,15,00:42:15.351,2536.351786,3078453566.0,,,,,,corner,['loss'],100.0,100.0,7018,Tvååker,4-4-2,6742,Ängelholm,4-4-2,1066972,G. Gustavsson,LB,False,-97.0,high,36.0,499232.0,R. Streifert,GK,96.0,48.0,3078453659.0,12.1626055,"['corner', 'set_piece_attack']",3.0,0.0,100.0,100.0,90.0,0.0,7018.0,Tvååker,4-4-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,96.0,48.0,right,2535,False,False,True,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
