id,matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,relatedEventId,shot,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,team.id,team.name,team.formation,opponentTeam.id,opponentTeam.name,opponentTeam.formation,player.id,player.name,player.position,pass.accurate,pass.angle,pass.height,pass.length,pass.recipient.id,pass.recipient.name,pass.recipient.position,pass.endLocation.x,pass.endLocation.y,possession.id,possession.duration,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.id,possession.team.name,possession.team.formation,possession.attack.withShot,possession.attack.withShotOnGoal,possession.attack.withGoal,possession.attack.flank,possession.attack.xg,pass,aerialDuel.opponent.id,aerialDuel.opponent.name,aerialDuel.opponent.position,aerialDuel.opponent.height,aerialDuel.firstTouch,aerialDuel.height,aerialDuel.relatedDuelId,infraction.yellowCard,infraction.redCard,infraction.type,infraction.opponent.id,infraction.opponent.name,infraction.opponent.position,carry.progression,carry.endLocation.x,carry.endLocation.y,possession.attack,groundDuel.opponent.id,groundDuel.opponent.name,groundDuel.opponent.position,groundDuel.duelType,groundDuel.keptPossession,groundDuel.progressedWithBall,groundDuel.stoppedProgress,groundDuel.recoveredPossession,groundDuel.takeOn,groundDuel.side,groundDuel.relatedDuelId,possession,shot.bodyPart,shot.isGoal,shot.onTarget,shot.goalZone,shot.xg,shot.postShotXg,shot.goalkeeperActionId,shot.goalkeeper,shot.goalkeeper.id,shot.goalkeeper.name,location,infraction.opponent,start_x,start_y,end_x,end_y,side,event_time_seconds,tag_shot_assist,tag_assist,tag_loss,delivery_zone,possession_shot,possession_goal,possession_shot_count,possession_goal_count,possession_header_shot_count,possession_header_goal_count,possession_xg,first_shot_xg,first_shooter_name,first_shooter_id
3169478737,5819260,2H,75,37,01:15:37.712,4788.71248,3169478741.0,,,,,,corner,[],100.0,100.0,6849,Jönköpings Södra,4-2-3-1,6785,Lund,4-1-4-1,51830,D. Kozica,AMF,True,-102.0,high,33.0,613701.0,H. Lyck,RCB,93.0,52.0,3169478737.0,1.083696,"['corner', 'set_piece_attack', 'attack']",3.0,0.0,100.0,100.0,93.0,52.0,6849.0,Jönköpings Södra,4-2-3-1,False,False,False,right,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,93.0,52.0,right,4537,False,False,False,penalty_spot_zone,False,False,0,0,0,0,0.0,0.0,,
3073213479,5819246,1H,7,49,00:07:49.929,470.929078,3073214962.0,,,,,,corner,['shot_assist'],100.0,0.0,6849,Jönköpings Södra,4-1-4-1,7018,Tvååker,4-4-2,51830,D. Kozica,RCMF,True,120.0,low,34.0,1060409.0,L. Lyck,CF,84.0,43.0,3073213479.0,0.9662405,"['corner', 'set_piece_attack', 'attack']",2.0,0.0,100.0,0.0,84.0,43.0,6849.0,Jönköpings Södra,4-1-4-1,True,False,False,left,0.0788,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,84.0,43.0,left,469,True,False,False,penalty_spot_zone,True,False,1,0,0,0,0.0788,0.0788,L. Lyck,1060409.0
3073213602,5819246,1H,12,12,00:12:12.257,733.257508,3073213607.0,,,,,,corner,['shot_assist'],100.0,100.0,6849,Jönköpings Södra,4-1-4-1,7018,Tvååker,4-4-2,51830,D. Kozica,RCMF,True,-96.0,high,31.0,615319.0,A. Karlsson,LB,97.0,54.0,3073213602.0,1.751775,"['corner', 'set_piece_attack', 'attack']",4.0,0.0,100.0,100.0,96.0,53.0,6849.0,Jönköpings Södra,4-1-4-1,True,True,False,right,0.2541,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,97.0,54.0,right,732,True,False,False,six_yard_central,True,False,2,0,1,0,0.2883,0.2541,A. Karlsson,615319.0
3073214040,5819246,1H,29,32,00:29:32.005,1773.005977,3073214067.0,,,,,,corner,[],100.0,100.0,6849,Jönköpings Södra,4-1-4-1,7018,Tvååker,4-4-2,51830,D. Kozica,RCMF,True,-112.0,high,32.0,615319.0,A. Karlsson,LB,89.0,56.0,3073214040.0,6.872351,"['corner', 'set_piece_attack', 'attack']",6.0,0.0,100.0,100.0,100.0,76.0,6849.0,Jönköpings Södra,4-1-4-1,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,89.0,56.0,right,1772,False,False,False,penalty_spot_zone,False,False,0,0,0,0,0.0,0.0,,
3073214254,5819246,1H,40,3,00:40:03.828,2404.828084,3073215398.0,,,,,,corner,[],100.0,0.0,6849,Jönköpings Södra,4-1-4-1,7018,Tvååker,4-4-2,51830,D. Kozica,RCMF,True,98.0,high,35.0,0.0,,,95.0,51.0,3073214254.0,5.200393,"['corner', 'set_piece_attack', 'attack']",6.0,0.0,100.0,0.0,78.0,65.0,6849.0,Jönköpings Södra,4-1-4-1,True,False,False,center,0.0034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,95.0,51.0,left,2403,False,False,False,six_yard_central,True,False,1,0,0,0,0.0034,0.0034,L. Lyck,1060409.0
3073214475,5819246,2H,48,59,00:48:59.215,3196.215659,3073214476.0,,,,,,corner,[],100.0,0.0,6849,Jönköpings Södra,4-1-4-1,7018,Tvååker,4-4-2,51830,D. Kozica,RW,True,107.0,high,24.0,1060411.0,A. Kiwarkis,CF,93.0,34.0,3073214475.0,1.2404295,"['corner', 'set_piece_attack', 'attack']",3.0,0.0,100.0,0.0,93.0,34.0,6849.0,Jönköpings Södra,4-1-4-1,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,93.0,34.0,left,2939,False,False,False,front_post,False,False,0,0,0,0,0.0,0.0,,
3073214637,5819246,2H,64,48,01:04:48.680,4145.680472,3073214946.0,,,,,,corner,['shot_assist'],100.0,100.0,6849,Jönköpings Södra,4-1-4-1,7018,Tvååker,4-4-2,51830,D. Kozica,RW,True,-100.0,high,36.0,558236.0,L. Eek,LCB,94.0,48.0,3073214637.0,1.7277195,"['corner', 'set_piece_attack', 'attack']",4.0,0.0,100.0,100.0,91.0,50.0,6849.0,Jönköpings Södra,4-1-4-1,True,False,False,right,0.0875,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,94.0,48.0,right,3888,True,False,False,six_yard_central,True,False,1,0,1,0,0.0875,0.0875,L. Eek,558236.0
3073214682,5819246,2H,69,18,01:09:18.099,4415.099006,3073214112.0,,,,,,corner,[],100.0,100.0,6849,Jönköpings Södra,4-1-4-1,7018,Tvååker,4-4-2,51830,D. Kozica,RW,False,-103.0,high,44.0,822768.0,T. Graudums,RCB,90.0,37.0,3073214682.0,0.9616975,"['corner', 'set_piece_attack']",1.0,0.0,100.0,100.0,90.0,37.0,6849.0,Jönköpings Södra,4-1-4-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,90.0,37.0,right,4158,False,False,False,penalty_spot_zone,False,False,0,0,0,0,0.0,0.0,,
3073214761,5819246,2H,77,21,01:17:21.684,4898.68422,3073214762.0,,,,,,corner,['third_assist'],100.0,100.0,6849,Jönköpings Södra,4-1-4-1,7018,Tvååker,4-4-2,498534,A. Bark,LCMF,True,-100.0,high,30.0,613701.0,H. Lyck,RCB,95.0,57.0,3073214761.0,7.094005,"['corner', 'set_piece_attack', 'attack']",4.0,0.0,100.0,100.0,94.0,52.0,6849.0,Jönköpings Södra,4-1-4-1,True,True,True,left,0.2644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,95.0,57.0,right,4641,False,False,False,six_yard_central,True,True,1,1,0,0,0.2644,0.2644,K. Grauberg Lepik,629185.0
3057971556,5819228,1H,2,48,00:02:48.236,169.236725,3057971557.0,,,,,,corner,[],100.0,100.0,6849,Jönköpings Södra,4-1-4-1,6777,Trollhättan,4-2-3-1,51830,D. Kozica,RCMF,True,-105.0,high,28.0,498534.0,A. Bark,LCMF,93.0,60.0,3057971556.0,1.7714795,"['corner', 'set_piece_attack', 'attack']",3.0,0.0,100.0,100.0,99.0,49.0,6849.0,Jönköpings Södra,4-1-4-1,True,False,False,right,0.3239,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,93.0,60.0,right,168,False,False,False,penalty_spot_zone,True,True,2,1,0,0,0.4452,0.3239,H. Lyck,613701.0
